FLOW_IN,MEAN_FLOW_OUT
400,384.12
500,480.24000000000007
600,573.4799999999999
700,668.1600000000001
800,764.64
900,860.76
1000,954.0
1100,1048.3200000000002
1200,1144.08
1300,1238.04
1400,1333.8
1500,1425.96
1600,1521.7199999999998
1700,1615.3200000000002
1800,1708.92
1900,1802.8799999999999
2000,1867.3199999999997
2100,1809.0000000000005
2200,1501.56
2300,1475.2800000000002
2400,1476.3600000000001
2500,1464.48
2600,1468.44
2700,1444.6799999999998
2800,1440.7199999999998
2900,1444.3200000000002
3000,1443.96
3100,1443.6
3200,1446.1200000000001
3300,1444.68
3400,1446.48
