FLOW_IN,MEAN_FLOW_OUT
400,385.55999999999995
500,481.67999999999995
600,574.56
700,671.0400000000001
800,765.36
900,861.1200000000001
1000,954.72
1100,1051.56
1200,1143.3600000000001
1300,1238.7599999999998
1400,1332.0
1500,1426.6799999999998
1600,1520.28
1700,1615.68
1800,1708.9199999999996
1900,1731.6
2000,1807.5600000000002
2100,1656.0
2200,1510.92
2300,1483.1999999999998
2400,1479.2399999999998
2500,1472.4
2600,1458.0
2700,1476.3600000000001
2800,1459.44
2900,1461.9599999999998
3000,1461.6
3100,1451.8799999999999
3200,1461.24
3300,1451.88
3400,1456.56
3500,1447.92
