FLOW_IN,ALL_FLOW_OUT
400,385.2
400,385.2
400,381.6
400,381.6
400,385.2
400,385.2
400,385.2
400,381.6
400,381.6
400,381.6
500,478.8
500,478.8
500,478.8
500,478.8
500,478.8
500,478.8
500,482.4
500,478.8
500,475.2
500,478.8
600,576.0
600,568.8
600,576.0
600,568.8
600,579.6
600,572.4
600,572.4
600,568.8
600,572.4
600,572.4
700,669.6
700,666.0
700,666.0
700,666.0
700,666.0
700,669.6
700,662.4
700,669.6
700,666.0
700,666.0
800,763.2
800,763.2
800,763.2
800,759.6
800,756.0
800,763.2
800,763.2
800,759.6
800,759.6
800,766.8
900,860.4
900,860.4
900,860.4
900,860.4
900,856.8
900,860.4
900,856.8
900,853.2
900,860.4
900,860.4
1000,943.2
1000,954.0
1000,954.0
1000,946.8
1000,950.4
1000,950.4
1000,950.4
1000,950.4
1000,946.8
1000,943.2
1100,1036.8
1100,1047.6
1100,1040.4
1100,1044.0
1100,1044.0
1100,1047.6
1100,1044.0
1100,1044.0
1100,1044.0
1100,1047.6
1200,1144.8
1200,1134.0
1200,1137.6
1200,1141.2
1200,1141.2
1200,1137.6
1200,1141.2
1200,1137.6
1200,1141.2
1200,1134.0
1300,1234.8
1300,1231.2
1300,1234.8
1300,1234.8
1300,1231.2
1300,1234.8
1300,1234.8
1300,1231.2
1300,1227.6
1300,1234.8
1400,1335.6
1400,1332.0
1400,1321.2
1400,1324.8
1400,1317.6
1400,1328.4
1400,1324.8
1400,1324.8
1400,1328.4
1400,1328.4
1500,1422.0
1500,1422.0
1500,1414.8
1500,1422.0
1500,1422.0
1500,1418.4
1500,1411.2
1500,1422.0
1500,1422.0
1500,1418.4
1600,1515.6
1600,1504.8
1600,1501.2
1600,1512.0
1600,1512.0
1600,1519.2
1600,1515.6
1600,1508.4
1600,1512.0
1600,1512.0
1700,1609.2
1700,1602.0
1700,1609.2
1700,1609.2
1700,1609.2
1700,1602.0
1700,1598.4
1700,1609.2
1700,1605.6
1700,1609.2
1800,1695.6
1800,1699.2
1800,1699.2
1800,1695.6
1800,1692.0
1800,1699.2
1800,1695.6
1800,1699.2
1800,1695.6
1800,1702.8
1900,1789.2
1900,1785.6
1900,1724.4
1900,1789.2
1900,1764.0
1900,1789.2
1900,1792.8
1900,1789.2
1900,1792.8
1900,1778.4
2000,1760.4
2000,1800.0
2000,1839.6
2000,1818.0
2000,1803.6
2000,1659.6
2000,1738.8
2000,1699.2
2000,1753.2
2000,1796.4
2100,1713.6
2100,1659.6
2100,1832.4
2100,1807.2
2100,1875.6
2100,1638.0
2100,1836.0
2100,1638.0
2100,1857.6
2100,1749.6
2200,1720.8
2200,1630.8
2200,1882.8
2200,1674.0
2200,1778.4
2200,1814.4
2200,1857.6
2200,1836.0
2200,1710.0
2200,1807.2
2300,1728.0
2300,1674.0
2300,1656.0
2300,1850.4
2300,1728.0
2300,1792.8
2300,1857.6
2300,1659.6
2300,1764.0
2300,1573.2
2400,1782.0
2400,1666.8
2400,1771.2
2400,1792.8
2400,1803.6
2400,1677.6
2400,1753.2
2400,1746.0
2400,1710.0
2400,1670.4
2500,1677.6
2500,1677.6
2500,1645.2
2500,1627.2
2500,1702.8
2500,1602.0
2500,1630.8
2500,1598.4
2500,1638.0
2500,1555.2
2600,1699.2
2600,1702.8
2600,1717.2
2600,1706.4
2600,1753.2
2600,1652.4
2600,1598.4
2600,1638.0
2600,1767.6
2600,1634.4
2700,1713.6
2700,1612.8
2700,1627.2
2700,1684.8
2700,1652.4
2700,1648.8
2700,1612.8
2700,1522.8
2700,1663.2
2700,1591.2
2800,1681.2
2800,1486.8
2800,1670.4
2800,1566.0
2800,1540.8
2800,1634.4
2800,1659.6
2800,1645.2
2800,1706.4
2800,1695.6
2900,1692.0
2900,1695.6
2900,1659.6
2900,1612.8
2900,1638.0
2900,1616.4
2900,1688.4
2900,1490.4
2900,1515.6
2900,1623.6
3000,1684.8
3000,1533.6
3000,1717.2
3000,1638.0
3000,1555.2
3000,1688.4
3000,1677.6
3000,1681.2
3000,1605.6
3000,1717.2
3100,1760.4
3100,1634.4
3100,1580.4
3100,1594.8
3100,1677.6
3100,1544.4
3100,1584.0
3100,1602.0
3100,1645.2
3100,1501.2
3200,1602.0
3200,1663.2
3200,1620.0
3200,1602.0
3200,1598.4
3200,1663.2
3200,1670.4
3200,1587.6
3200,1684.8
3200,1504.8
3300,1702.8
3300,1584.0
3300,1735.2
3300,1634.4
3300,1526.4
3300,1461.6
3300,1659.6
3300,1616.4
3300,1634.4
3300,1666.8
3400,1623.6
3400,1605.6
3400,1648.8
3400,1674.0
3400,1681.2
3400,1605.6
3400,1519.2
3400,1659.6
3400,1749.6
3400,1677.6
