FLOW_IN,MEAN_FLOW_OUT
400,383.4
500,478.8
600,572.7599999999999
700,666.72
800,761.7600000000001
900,858.9599999999998
1000,948.96
1100,1044.0
1200,1139.0400000000002
1300,1233.0
1400,1326.6
1500,1419.48
1600,1511.28
1700,1606.3200000000002
1800,1697.4
1900,1779.48
2000,1766.8800000000003
2100,1760.7600000000002
2200,1771.2
2300,1728.36
2400,1737.3600000000001
2500,1635.48
2600,1686.9600000000003
2700,1632.96
2800,1628.6399999999999
2900,1623.2400000000002
3000,1649.8799999999999
3100,1612.44
3200,1619.6399999999999
3300,1622.16
3400,1644.48
