FLOW_IN,MEAN_FLOW_OUT
400,384.47999999999996
500,480.24000000000007
600,573.4799999999999
700,668.1600000000001
800,764.28
900,860.7599999999999
1000,952.9199999999998
1100,1048.3200000000002
1200,1143.3600000000001
1300,1237.6799999999998
1400,1333.8
1500,1425.9600000000003
1600,1520.2800000000002
1700,1615.32
1800,1707.8400000000001
1900,1801.44
2000,1829.1599999999999
2100,1703.8799999999999
2200,1616.0399999999997
2300,1602.3600000000001
2400,1480.6799999999998
2500,1509.84
2600,1512.3600000000001
2700,1436.4
2800,1432.08
2900,1437.4800000000002
3000,1434.2400000000002
3100,1436.4
3200,1434.9599999999998
3300,1436.0399999999997
3400,1434.24
3500,1437.48
